babip,launch_angle
0.313,16.5
0.301,13.9
0.388,11.1
0.304,18.7
0.325,9.3
0.296,18.3
0.347,13.6
0.377,4.5
0.312,20.0
0.266,18.0
0.365,7.5
0.318,24.2
0.395,18.5
0.394,6.0
0.396,12.8
0.263,13.3
0.318,7.5
0.274,17.6
0.356,19.2
0.261,18.2
0.394,14.7
0.413,17.2
0.345,13.3
0.407,3.5
0.264,18.1
0.388,23.1
0.364,3.4
0.329,18.7
0.308,20.2
0.353,10.2
0.351,13.3
0.329,13.1
0.262,19.1
0.336,14.9
0.229,13.2
0.329,16.0
0.390,17.2
0.243,17.5
0.360,11.2
0.297,21.4
0.318,9.3
0.362,12.9
0.333,17.0
0.389,7.5
0.271,21.5
0.383,16.7
0.346,11.2
0.307,12.9
0.373,13.1
0.301,13.1
0.403,6.6
0.350,12.3
0.314,11.6
0.377,7.3
0.398,12.2
0.371,11.6
0.292,22.3
0.277,19.5
0.306,18.4
0.429,7.6
0.333,9.1
0.421,17.2
0.350,10.8
0.260,16.9
0.336,16.8
0.391,13.1
0.341,14.1
0.311,15.4
0.338,8.4
0.313,20.9
0.349,22.9
0.364,14.2
0.216,14.8
0.344,14.3
0.295,15.0
0.287,18.8
0.309,16.0
0.295,17.0
0.433,1.8
0.331,13.4
0.346,13.2
0.289,12.2
0.336,23.9
0.397,14.5
0.293,5.9
0.379,5.9
0.258,16.8
0.365,11.8
0.364,9.0
0.459,13.0
0.237,17.7
0.248,23.4
0.357,12.2
0.256,12.7
0.405,12.2
0.395,20.2
0.267,13.2
0.336,10.4
0.259,25.0
0.336,19.1
0.347,20.8
0.243,19.8
0.333,9.6
0.276,10.3
0.367,6.8
0.354,10.4
0.410,14.7
0.336,12.2
0.381,12.9
0.270,2.8
0.261,24.4
0.325,16.5
0.345,3.4
0.278,13.4
0.243,17.7
0.339,14.3
0.352,22.7
0.308,16.8
0.238,19.9
0.431,8.0
0.333,18.4
0.274,18.9
0.363,4.9
0.330,8.3
0.336,15.1
0.291,17.7
0.426,13.0
0.281,5.6
0.394,4.9
0.265,11.8
0.355,10.4
0.330,13.9
0.255,12.4
0.276,8.6
0.236,9.2
0.390,17.9
0.389,10.7
0.389,18.1
0.351,17.0
0.378,19.1
0.404,11.5
0.343,14.4
0.358,13.6
0.303,21.0
0.347,14.2
0.339,4.8
0.467,6.0
0.330,11.2
0.340,10.6
0.321,14.7
0.250,26.1
0.317,14.1
0.317,9.7
0.354,20.2
0.370,12.4
0.402,15.1
0.355,9.6
0.324,20.8
0.381,18.7
0.333,20.1
0.247,12.1
0.343,11.1
0.347,12.2
0.323,7.9
0.430,14.4
0.309,16.6
0.484,10.4
0.354,14.2
0.323,19.0
0.341,19.9
0.319,16.3
0.365,12.6
0.411,15.7
0.292,13.1
0.307,27.2
0.274,16.6
0.256,19.7
0.319,10.2
0.310,12.6
0.372,-3.7
0.376,22.5
0.326,12.0
0.340,12.7
0.300,19.3
0.276,17.9
0.247,21.4
0.348,15.6
0.356,6.8
0.181,26.3
0.333,20.7
0.391,13.5
0.380,8.2
0.265,18.1
0.262,11.6
0.430,10.8
0.349,11.5
0.258,16.7
0.282,14.6
0.205,20.7
0.329,22.3
0.296,11.2
0.381,14.6
0.341,7.1
0.470,10.9
0.262,18.3
0.299,11.0
0.268,18.3
0.321,0.9
0.304,16.2
0.316,25.7
0.244,8.7
0.313,21.5
0.282,21.4
0.171,20.9
0.407,4.7
0.171,21.3
0.338,16.2
0.300,16.0
0.278,25.5
0.351,20.0
0.341,13.7
0.333,14.6
0.402,-5.5
0.311,25.4
0.341,20.1
0.329,12.1
0.313,15.0
0.313,15.9
0.346,18.5
0.230,20.5
0.359,13.2
0.299,24.2
0.347,19.0
0.299,24.0
0.218,11.0
0.216,19.3
0.378,11.4
0.311,19.9
0.231,15.2
0.295,8.9
0.225,13.8
0.351,8.1
0.230,2.9
0.274,11.8
0.294,14.7
0.387,9.6
0.387,7.6
0.162,20.4
0.257,11.9
0.307,19.1
0.403,14.1
0.304,9.6
0.365,5.4
0.417,17.9
0.310,17.1
0.282,3.5
0.329,2.3
0.214,18.5
0.273,12.1
0.329,10.0
0.333,13.5
0.300,8.9
0.323,17.3
0.300,8.4
0.242,17.5
0.333,16.5
0.317,17.7
0.250,11.7
0.364,14.0
0.369,18.4
0.303,13.0
0.355,15.2
0.333,8.5
0.213,16.7
0.354,9.1
0.262,19.2
0.317,9.2
0.303,11.8
0.250,19.6
0.400,5.5
0.306,13.3
0.274,13.2
0.258,18.2
0.359,9.5
0.435,14.7
0.321,17.7
0.459,12.6
0.365,11.0
0.383,16.0
0.286,10.6
0.382,15.7
0.203,11.9
0.274,18.1
0.356,6.8
0.382,11.8
0.283,17.3
0.179,10.0
0.241,15.2
0.254,13.3
0.250,18.0
0.379,10.9
0.500,10.1
0.358,12.9
0.364,16.8
0.358,14.6
0.298,10.2
0.448,13.1
0.315,13.4
0.351,15.9
0.352,17.2
0.232,6.6
0.377,21.8
0.351,15.5
0.421,14.4
0.315,13.4
0.304,17.4
0.362,19.9
0.226,26.7
0.393,1.8
0.321,20.3
0.340,20.4
0.189,17.1
0.239,16.3
0.245,16.1
0.240,17.2
0.250,26.8
0.353,17.8
0.327,14.6
0.300,22.3
0.216,21.7
0.319,6.1
0.375,5.3
0.340,18.3
0.184,6.9
0.306,-0.5
0.347,9.7
0.170,12.4
0.477,15.9
0.292,16.0
0.224,4.6
0.234,19.8
0.304,12.1
0.244,18.6
0.286,10.5
0.333,21.7
0.234,16.4
0.234,19.4
0.277,7.1
0.318,16.1
0.409,15.3
0.326,19.2
0.317,10.8
0.310,22.2
0.289,23.8
0.385,10.3
0.275,12.9
0.381,14.4
0.357,12.6
0.300,8.3
0.179,18.7
0.350,15.2
0.184,21.0
0.421,18.2
0.268,5.6
0.216,16.7
0.308,10.6
0.333,9.8
0.243,6.5
0.189,16.2
0.433,18.5
0.200,21.1
0.194,10.6
0.194,10.3
0.314,17.8
0.212,27.8
0.367,9.5
0.257,2.9
0.281,14.2
0.344,8.8
0.528,11.5
0.472,12.4
0.278,5.1
0.281,8.8
0.219,12.5
0.314,11.2
0.242,12.8
0.229,33.3
0.258,20.9
0.424,17.1
0.206,21.1
0.387,11.1
0.219,20.1
0.333,18.5
0.323,18.7
0.242,17.7
0.250,19.0
0.242,13.7
0.375,13.7
0.188,7.7
0.281,15.3
0.300,9.9
0.200,-0.3
0.355,4.7
0.300,9.0
0.467,15.8
0.107,7.4
0.310,13.4
0.321,18.0
0.464,7.7
0.448,9.7
0.259,14.6
0.345,7.7
0.250,16.5
0.207,1.3
0.310,15.0
0.259,2.9
0.269,26.0
0.074,24.9
0.346,7.8
0.280,22.0
0.077,3.3
0.167,22.0
0.240,12.8
0.125,28.8
0.385,21.9
0.346,21.8
0.240,26.1
0.360,21.1
0.250,24.5
0.333,28.5
0.348,14.6
0.227,22.0
0.227,15.5
0.261,28.1
0.333,8.8
0.211,25.9
0.318,12.8
0.273,6.9
0.429,3.1
0.250,27.4
0.474,8.7
0.150,17.4
0.150,16.0
0.150,27.1
0.471,12.7
0.263,17.7
0.250,23.4
0.200,8.4
0.421,5.8
0.368,6.1
0.263,8.8
0.368,4.0
0.263,12.3
0.471,7.1
0.353,10.9
0.412,4.3
0.125,12.9
0.267,9.8
0.176,11.2
0.125,21.8
0.313,29.3
0.353,15.4
0.250,15.7
0.357,-3.4
0.200,22.9
0.188,16.7
0.308,22.1
0.400,-3.9
0.333,13.5
0.385,5.4
0.357,19.1
0.286,29.6
0.462,15.4
0.286,30.4
0.286,9.6
0.500,-4.6
0.143,-4.9
0.231,30.6
0.308,5.9
0.077,9.8
0.333,4.4
0.273,26.8
0.500,15.2
0.250,37.4
0.273,19.1
0.273,31.8
0.250,17.8
0.333,3.3
0.000,17.9
0.182,11.3
0.250,24.5
0.182,-10.6
0.200,24.7
0.182,31.8
0.091,22.0
0.000,37.9
0.444,13.2
0.100,10.6
0.300,25.0
0.100,20.3
0.300,12.8
0.444,-6.4
0.222,-4.8
0.500,16.5
0.250,38.9
0.250,10.5
0.500,13.8
0.250,17.1
0.125,17.5
0.375,-10.4
0.143,22.7
0.143,3.6
0.286,10.6
0.000,24.0
0.143,0.6
0.286,22.7
0.286,8.0
0.143,31.0
0.500,-17.3
0.167,10.0
0.333,17.2
0.600,10.7
0.667,18.0
0.000,16.7
0.200,8.5
0.250,24.6
0.000,21.2
0.200,12.2
0.400,5.2
0.000,27.0
0.200,-7.4
0.200,13.6
0.400,1.0
0.250,24.4
0.500,-4.5
0.500,14.0
0.667,9.0
0.250,6.5
0.250,-1.3
0.500,33.0
0.250,15.3
0.000,26.3
0.250,36.5
0.750,-2.3
0.333,11.7
0.333,41.3
0.333,6.0
0.333,10.3
0.667,23.7
0.333,22.3
0.000,11.3
0.000,8.0
0.667,-9.0
0.333,24.3
0.000,5.3
0.000,25.0
0.000,28.3
0.000,9.0
0.500,51.0
0.000,45.0
1.000,11.5
0.000,48.0
0.500,27.0
0.000,23.0
1.000,22.0
0.500,-11.0
1.000,12.0
0.000,0.0
null,22.0
0.000,54.0
0.000,-31.0
0.000,48.0
1.000,20.0
0.000,-16.0
0.000,56.0
1.000,-6.0